product_key,category,product_name,total_reviews,cleanse_ratio,orig_rating,cleaned_rating,axis_1,axis_2,axis_3,axis_4,summary_1
SYN-STROLLER-000001,stroller,가상브랜드_새봄 SYN-STROLLER-000001,185,0.132,4.48,4.07,주행감 긍정 69%,폴딩편의성 긍정 64%,내구성 긍정 79%,통풍성 부정 52%,여름철 시트 통풍이 부족해 등에 땀이 찬다는 지적이 있습니다.
SYN-CAR-SEAT-000002,car_seat,가상브랜드_새봄 SYN-CAR_SEAT-000002,57,0.092,4.61,4.26,설치편의성 긍정 68%,안전벨트 긍정 68%,통풍성 부정 42%,인증관련 긍정 59%,5점식 벨트 조절이 쉽고 아이가 답답해하지 않는다는 평이 많습니다.
SYN-CARRIER-000003,carrier,가상브랜드_새봄 SYN-CARRIER-000003,188,0.08,4.66,4.55,착용감 긍정 66%,허리부담 부정 57%,통풍성 부정 44%,탈부착편의성 부정 53%,메쉬 소재라 여름에도 덜 덥다는 후기가 많습니다.
SYN-CRIB-000004,crib,가상브랜드_모아 SYN-CRIB-000004,115,0.184,4.5,4.18,조립편의성 부정 46%,내구성 부정 49%,매트리스핏 긍정 81%,마감 부정 43%,모서리 마감재가 시간이 지나면 들뜬다는 지적이 일부 있습니다.
SYN-SLEEPWEAR-000005,sleepwear,가상브랜드_새봄 SYN-SLEEPWEAR-000005,215,0.071,4.22,3.78,보온성 긍정 83%,세탁내구성 부정 38%,사이즈핏 부정 38%,촉감 긍정 58%,간절기에 이불 대신 입혀도 충분히 따뜻하다는 평이 많습니다.
SYN-BOTTLE-000006,bottle,가상브랜드_도담 SYN-BOTTLE-000006,209,0.106,4.3,4.03,젖꼭지호환 부정 38%,세척편의성 긍정 69%,누수 부정 60%,온도감지 긍정 76%,외출 시 가방에서 새는 경우가 있었다는 지적이 있습니다.
SYN-FORMULA-000007,formula,가상브랜드_도담 SYN-FORMULA-000007,58,0.193,4.31,4.06,용해성 부정 38%,맛수용성 부정 43%,포장편의성 긍정 88%,가격대비량 부정 40%,1회분 소포장이라 외출할 때 편하다는 평이 많습니다.
SYN-HIGH-CHAIR-000008,high_chair,가상브랜드_새봄 SYN-HIGH_CHAIR-000008,236,0.117,4.54,4.15,조립편의성 긍정 73%,청소편의성 부정 49%,높이조절 부정 55%,안전벨트 긍정 64%,단계별 높이 조절 시 소음이 크다는 지적이 있습니다.
SYN-BABY-FOOD-000009,baby_food,가상브랜드_모아 SYN-BABY_FOOD-000009,313,0.194,4.41,3.96,맛수용성 긍정 75%,포장편의성 부정 62%,원재료 긍정 65%,농도 부정 58%,월령별로 농도 편차가 있다는 의견이 일부 있습니다.
SYN-CUP-000010,cup,가상브랜드_도담 SYN-CUP-000010,218,0.113,4.27,3.93,누수 부정 42%,세척편의성 긍정 59%,손잡이 긍정 87%,빨대내구성 부정 56%,빨대 부분을 씹어서 자주 교체해야 한다는 지적이 있습니다.
SYN-BIB-000011,bib,가상브랜드_모아 SYN-BIB-000011,16,0.151,4.51,4.32,방수성 긍정 76%,세탁내구성 부정 49%,목둘레조절 긍정 78%,촉감 긍정 82%,이유식이 옷까지 안 튀어 좋다는 후기가 많습니다.
